--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
23:06:36.136 >    978s | 28.2 | 30.0 | -1.75 | -26.25 |  40.03 | -0.12 |  13.6 |  13%
23:06:36.906 >    979s | 28.1 | 30.0 | -1.81 | -27.18 |  39.12 | -0.12 |  11.8 |  11%
23:06:37.676 >    980s | 28.1 | 30.0 | -1.87 | -28.12 |  38.18 | -0.12 |   9.9 |   9%
23:06:38.446 >    981s | 28.0 | 30.0 | -1.93 | -29.06 |  37.21 | -0.12 |   8.0 |   8%
23:06:39.216 >    982s | 28.0 | 30.0 | -1.93 | -29.06 |  36.25 |  0.00 |   7.1 |   7%
23:06:39.986 >    983s | 27.9 | 30.0 | -2.06 | -30.93 |  35.21 | -0.25 |   4.0 |   4%
23:06:40.756 >    984s | 27.9 | 30.0 | -2.06 | -30.93 |  34.18 |  0.00 |   3.2 |   3%
23:06:41.526 >    985s | 27.8 | 30.0 | -2.12 | -31.87 |  33.12 | -0.12 |   1.1 |   1%
23:06:42.297 >    986s | 27.8 | 30.0 | -2.18 | -32.81 |  32.03 | -0.12 |   0.0 |   0%
23:06:43.067 >    987s | 27.8 | 30.0 | -2.18 | -32.81 |  30.93 |  0.00 |   0.0 |   0%
23:06:43.837 >    988s | 27.7 | 30.0 | -2.25 | -33.75 |  29.81 | -0.12 |   0.0 |   0%
